更新时间,#genre#
20260316-05-40-05,url


blacklist,#genre#
CCTV1,http://114.226.0.210:4022/rtp/239.49.8.19:9614
CCTV1,http://114.226.0.210:4022/rtp/239.49.8.129:6000
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=202603160402148e20f4706466424485b8bbb583dd2817&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260316040214&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=218.28.233.106&SecurityKey=20260316040214&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=437c91335a54c98583537ada2a7f146a
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV1,http://219.156.87.51:4022/rtp/225.1.4.73:1102
CCTV1,http://116.2.164.201:4010/rtp/232.0.0.27:1234
CCTV2,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=20260316040214f9bcd6fd966d45309e9cfbf2be911a83&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260316040214&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=218.28.233.106&SecurityKey=20260316040214&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=212ee60f9c79f96924ff161f5be1408c
CCTV1,http://39.77.94.75:4002/rtp/239.253.254.89:8000
CCTV1,http://39.77.94.75:4002/rtp/239.253.254.77:8000
CCTV1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://171.8.138.185:8800/rtp/239.16.20.1:10010
CCTV1,http://124.114.102.85:6789/rtp/239.112.205.59:5140
CCTV1,http://106.83.119.218:8188/rtp/235.254.198.51:1480
CCTV1,http://1.192.240.99:8188/rtp/239.16.20.1:10010
CCTV1,http://221.220.135.222:8012/rtp/239.3.1.129:8008
CCTV1,http://114.238.59.21:4000/rtp/239.49.8.19:9614
CCTV1,http://59.174.116.93:4022/rtp/239.254.96.96:8550
CCTV1,http://223.198.243.223:4000/rtp/239.253.64.120:5140
CCTV2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773485225&major_anchor_level=common&sign=3d1a5df7eb85afad5490805a2e5f1586&t_id=037-2026030718470509DC28CF4944BE5BFF72-rNcHNp
CCTV1,http://114.238.59.21:4000/rtp/239.49.8.129:6000
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773218365&major_anchor_level=common&sign=821612d0a7b01fb226f8f39d97d19fc2&t_id=037-20260304163924497A73460AD8D5D628AF-n87Lsu
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
CCTV3,http://114.226.0.210:4022/rtp/239.49.1.3:6000
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV2,http://219.156.87.51:4022/rtp/225.1.4.74:1103
CCTV2,http://116.2.164.201:4010/rtp/232.0.0.135:1234
CCTV2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1774137612&major_anchor_level=common&sign=083dee77dac06a94f512dca7db92affa&t_id=037-20260315080012DFA4D8A19D256E8616F4-kGRXIb
